"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632A";"Maçons qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"_T";"Total"
"QUANTILE";"Quantile";"_T";"Total"
"SEX";"Sexe";"F";"Femme"
"SEX";"Sexe";"M";"Homme"
"SEX";"Sexe";"_T";"Total"
"TIME_PERIOD";"Période temporelle";"2023";"2023"
"UNIT_MEASURE";"Unité de mesure";"FT";"Equivalent temps plein"
"UNIT_MEASURE";"Unité de mesure";"XDC";"Devise nationale (Euros)"
"WKTIME";"Temps de travail";"PT";"Temps partiel"
"WKTIME";"Temps de travail";"FT";"Temps complet"
"WKTIME";"Temps de travail";"_T";"Total"
"GEO";"Géographie";"F";"France"
